,tripduration,start_station_id,end_station_id,usertype,birth_year,gender,Hour,Month,Day of Week
217,24.666666666666668,519,2003,1,1976,0,17,8,3
218,11.15,312,527,1,1976,0,1,8,3
219,16.6,530,223,1,1976,0,8,11,3
220,22.366666666666667,484,3295,1,1976,0,18,11,0
221,6.85,264,320,1,1976,0,17,4,0
222,17.816666666666666,482,511,1,1976,0,22,5,0
223,5.466666666666667,3373,3317,1,1976,0,21,2,6
224,13.416666666666666,418,421,1,1976,1,11,5,6
225,13.266666666666667,3134,484,1,1976,0,15,8,3
226,36.43333333333333,396,347,1,1976,0,8,5,0
227,6.233333333333333,173,529,1,1976,0,17,10,6
228,7.133333333333334,479,469,1,1977,0,8,2,1
229,31.666666666666668,3064,417,1,1977,0,15,6,4
230,4.083333333333333,3466,3458,1,1977,0,6,10,3
231,23.533333333333335,3337,3335,1,1977,1,15,5,5
232,12.133333333333333,501,546,1,1977,0,9,9,1
233,15.05,3139,3367,1,1977,0,17,4,1
234,12.95,296,369,1,1977,0,9,9,2
235,11.583333333333334,434,3635,0,1978,0,13,10,4
236,12.766666666666667,368,304,1,1978,0,7,8,0
237,3.6,307,307,1,1978,0,18,4,2
238,38.3,474,243,1,1978,0,13,2,3
239,16.883333333333333,3349,3685,1,1978,0,13,5,6
240,7.016666666666667,3141,3290,1,1978,0,11,11,2
241,17.816666666666666,472,526,1,1978,0,13,1,2
242,6.6,244,324,1,1978,0,19,12,4
243,9.5,490,517,1,1978,0,16,2,1
244,7.066666666666666,3158,449,1,1978,0,9,1,0
245,5.316666666666666,229,3463,1,1978,0,9,10,0
246,5.25,3092,3476,1,1978,1,9,9,1
247,36.583333333333336,462,3289,1,1978,1,12,7,6
248,10.2,3674,412,1,1979,1,9,5,2
249,10.4,2010,383,1,1979,0,18,11,3
250,4.2,432,504,1,1979,0,15,10,2
251,20.65,3177,3441,1,1979,0,7,8,0
252,24.366666666666667,293,513,1,1979,0,11,9,4
253,23.9,477,328,1,1979,0,16,4,4
254,34.25,3459,3167,1,1979,1,9,6,6
255,4.233333333333333,161,3427,1,1979,0,7,9,1
256,26.316666666666666,3435,434,1,1979,0,17,4,4
257,7.333333333333333,3360,530,1,1979,0,10,9,5
258,15.966666666666667,3171,281,1,1979,0,8,5,2
259,8.066666666666666,334,212,1,1979,0,15,8,2
260,3.8,3147,3151,1,1979,0,11,3,5
261,12.65,3293,3292,1,1979,1,7,5,2
262,12.733333333333333,3116,471,1,1979,0,16,5,3
263,36.3,3002,3171,1,1980,0,23,8,3
264,7.966666666666667,366,243,1,1980,1,10,4,5
265,16.75,418,3440,1,1980,1,17,4,5
266,9.983333333333333,407,313,1,1980,0,7,1,0
267,24.05,450,3147,1,1980,1,12,6,3
268,5.033333333333333,442,3258,1,1980,0,15,11,3
269,27.166666666666668,3349,2002,0,1980,1,13,4,0
270,5.866666666666666,3383,3314,1,1980,1,9,2,6
271,9.016666666666667,435,465,1,1980,0,10,4,0
272,23.316666666666666,394,3100,1,1980,0,16,5,1
273,8.133333333333333,465,72,1,1980,0,17,6,4
274,8.45,3335,3313,1,1980,0,20,4,1
275,16.033333333333335,458,3461,1,1980,0,10,7,6
276,7.216666666666667,3428,458,1,1980,0,12,6,4
277,5.05,293,3263,1,1981,1,13,8,6
278,9.55,229,295,1,1981,0,19,12,3
279,38.0,382,3124,1,1981,1,13,9,3
280,9.866666666666667,161,297,1,1981,0,16,4,3
281,23.483333333333334,519,3177,1,1981,0,18,10,2
282,12.916666666666666,3358,3410,1,1981,0,7,3,4
283,15.85,3142,3164,1,1981,0,17,9,4
284,4.033333333333333,397,83,1,1981,0,7,9,0
285,3.1,3090,3085,1,1981,1,20,12,2
286,8.333333333333334,379,495,1,1981,0,18,11,2
287,3.45,3170,3172,1,1981,0,5,3,3
288,22.183333333333334,422,127,1,1981,0,19,12,4
289,12.366666666666667,2000,3409,1,1982,0,19,3,5
290,13.283333333333333,2001,416,1,1982,0,19,4,6
291,8.966666666666667,3158,515,1,1982,0,18,7,1
292,6.983333333333333,3135,3143,1,1982,0,18,5,2
293,9.95,491,487,1,1982,1,17,4,5
294,28.833333333333332,3163,3129,1,1982,0,17,5,4
295,35.5,3263,3392,1,1982,1,18,11,0
296,8.583333333333334,3255,3463,1,1982,0,7,8,3
297,18.566666666666666,391,376,1,1982,0,9,5,2
298,10.333333333333334,281,72,1,1982,0,12,6,5
299,8.15,486,507,1,1982,0,18,9,1
300,13.283333333333333,3236,491,1,1982,0,6,10,1
301,5.6,319,257,1,1982,0,11,3,4
302,3.5833333333333335,399,313,1,1982,0,9,9,1
303,15.333333333333334,330,79,1,1982,1,13,5,6
304,8.65,496,347,1,1982,0,18,4,0
305,30.433333333333334,3143,3167,1,1982,0,19,9,1
306,4.033333333333333,167,3235,1,1983,0,9,10,2
307,7.483333333333333,3073,481,1,1983,1,14,4,6
308,5.383333333333334,3637,353,1,1983,0,15,11,6
309,14.95,293,455,1,1983,1,17,6,2
310,3.1166666666666667,3093,3107,1,1983,0,18,4,2
311,8.95,320,3244,1,1983,1,18,9,3
312,12.4,379,440,1,1983,0,8,5,3
313,9.5,519,507,1,1983,0,20,11,5
314,52.15,284,212,1,1983,0,15,5,0
315,17.75,3618,3116,1,1984,1,13,4,5
316,5.6,284,3258,1,1984,1,18,6,2
317,5.316666666666666,437,289,1,1984,0,16,10,5
318,19.716666666666665,3282,3343,1,1984,0,16,8,6
319,11.816666666666666,266,473,1,1984,1,20,9,2
320,13.566666666666666,245,409,1,1984,1,15,4,0
321,7.5,3090,3115,1,1984,0,20,10,1
322,49.916666666666664,3088,3386,1,1984,0,15,4,5
323,8.983333333333333,3116,3119,1,1984,0,9,4,3
324,4.5,3416,467,1,1984,0,7,4,4
325,17.283333333333335,3087,3068,1,1984,1,19,9,6
326,22.2,472,476,1,1984,0,11,11,3
327,21.6,417,301,1,1984,0,23,11,2
328,4.0,453,212,1,1984,0,19,5,2
329,9.766666666666667,440,476,1,1984,1,15,12,2
330,6.366666666666666,3129,3561,1,1984,0,19,3,6
331,8.183333333333334,3244,405,1,1984,0,12,10,5
332,14.0,3373,3368,1,1984,0,13,9,5
333,7.033333333333333,3339,3319,1,1984,0,16,6,1
334,4.666666666666667,402,470,1,1984,0,20,9,4
335,10.016666666666667,281,518,1,1985,0,18,5,3
336,22.866666666666667,3077,264,1,1985,0,9,6,4
337,6.633333333333334,3349,3377,1,1985,1,7,6,0
338,6.6,3158,3167,1,1985,0,19,7,1
339,5.8,3526,3515,1,1985,0,15,3,5
340,22.2,426,525,1,1985,1,18,5,0
341,12.7,405,251,1,1985,0,18,5,4
342,11.85,3412,406,1,1985,0,15,9,2
343,9.433333333333334,474,448,1,1985,0,10,3,2
344,40.016666666666666,533,533,1,1985,0,18,1,3
345,16.15,501,3243,1,1985,0,14,5,5
346,34.733333333333334,358,442,1,1985,0,21,6,2
347,21.383333333333333,537,3130,1,1985,0,18,6,2
348,3.216666666666667,3319,3324,1,1985,0,21,12,2
349,7.916666666666667,3297,3361,1,1985,0,22,9,5
350,4.05,3113,3102,1,1985,1,8,6,3
351,3.2333333333333334,3134,3142,1,1985,0,16,4,3
352,7.833333333333333,484,479,1,1985,1,14,2,5
353,7.766666666666667,345,504,1,1985,0,7,7,2
354,9.783333333333333,3145,522,1,1985,0,6,11,1
355,14.1,539,3086,1,1985,0,18,4,2
356,14.6,525,328,1,1985,0,7,10,1
357,15.366666666666667,533,3260,1,1986,0,18,11,1
358,6.716666666666667,473,432,1,1986,1,20,8,5
359,3.7,319,260,1,1986,0,8,7,2
360,35.766666666666666,315,3002,1,1986,0,17,9,0
361,21.95,3656,3105,1,1986,0,19,4,3
362,3.466666666666667,239,270,1,1986,0,0,6,0
363,3.433333333333333,3461,3436,1,1986,0,6,10,1
364,3.216666666666667,3417,3416,1,1986,0,21,6,3
365,11.583333333333334,485,509,1,1986,0,13,4,1
366,5.416666666666667,501,476,1,1986,0,11,11,1
367,22.583333333333332,319,3656,1,1986,0,20,3,3
368,9.233333333333333,281,3137,0,1986,0,12,6,5
369,13.683333333333334,507,522,1,1986,0,21,7,1
370,6.083333333333333,336,127,1,1986,0,9,5,0
371,22.466666666666665,3598,3094,1,1986,0,16,10,5
372,12.166666666666666,257,326,1,1986,0,20,5,0
373,27.666666666666668,3425,3458,1,1986,0,8,2,1
374,8.183333333333334,244,324,1,1986,1,8,3,3
375,5.333333333333333,387,315,1,1986,1,17,10,0
376,16.45,2006,3282,1,1986,1,17,10,4
377,15.033333333333333,368,2008,1,1987,1,19,4,5
378,3.95,3396,3382,1,1987,0,7,4,0
379,10.333333333333334,456,533,1,1987,0,17,11,3
380,11.2,348,326,1,1987,0,21,5,3
381,13.133333333333333,3166,72,1,1987,1,13,3,6
382,6.166666666666667,433,301,1,1987,0,11,10,4
383,5.6,3390,3374,1,1987,1,9,8,5
384,13.9,3415,3423,1,1987,0,14,9,2
385,13.816666666666666,168,393,1,1987,0,13,5,5
386,9.7,3164,457,1,1987,1,8,3,4
387,7.8,2000,323,1,1987,0,18,3,3
388,6.4,3372,3305,1,1987,1,15,11,0
389,11.883333333333333,264,401,1,1987,0,14,2,5
390,4.183333333333334,539,3016,1,1987,0,17,7,2
391,15.8,437,443,1,1987,0,7,2,2
392,3.25,305,441,1,1987,1,9,10,2
393,13.333333333333334,532,265,1,1987,0,17,8,5
394,36.53333333333333,3182,3479,1,1987,0,16,5,6
395,7.1,3086,3106,1,1987,1,18,6,5
396,20.066666666666666,2006,3336,1,1988,1,18,6,6
397,5.6,297,491,1,1988,0,19,9,4
398,8.3,3090,3082,1,1988,1,20,6,6
399,20.133333333333333,327,3263,1,1988,1,22,10,5
400,41.86666666666667,3346,3429,1,1988,1,16,5,2
401,40.2,432,3166,1,1988,1,15,7,1
402,12.05,498,3263,1,1988,0,19,9,3
403,18.183333333333334,173,3224,0,1988,1,9,4,6
404,5.833333333333333,3409,3420,1,1988,0,9,10,1
405,8.116666666666667,355,3256,1,1988,0,17,7,2
406,14.133333333333333,472,3236,1,1988,0,16,8,3
407,13.5,3159,3350,1,1988,0,18,11,0
408,15.866666666666667,3318,3223,1,1988,1,9,8,2
409,30.633333333333333,519,3318,1,1988,0,17,6,3
410,10.45,461,505,1,1988,0,7,11,0
411,3.6166666666666667,3318,3288,1,1988,0,15,10,6
412,3.1166666666666667,3109,3469,1,1988,0,7,2,2
413,7.8,151,311,1,1988,0,14,5,1
414,19.3,3680,3286,1,1988,1,14,5,6
415,3.7,503,496,1,1988,0,14,10,5
416,11.85,539,3086,1,1988,1,19,9,6
417,8.783333333333333,305,518,1,1988,0,8,9,4
418,8.3,3076,3452,1,1988,1,15,7,6
419,23.15,3356,3425,1,1988,0,22,12,4
420,19.133333333333333,405,507,1,1988,1,18,8,1
421,41.86666666666667,503,336,1,1988,0,16,12,6
422,19.9,3157,3328,1,1988,0,19,1,0
423,6.433333333333334,3077,532,1,1989,0,18,7,5
424,25.333333333333332,3441,2023,1,1989,0,11,10,1
425,8.533333333333333,161,308,1,1989,0,15,11,4
426,20.366666666666667,504,520,1,1989,1,8,9,4
427,4.6,3387,3521,1,1989,0,8,11,1
428,3.2666666666666666,467,3415,1,1989,0,15,4,5
429,10.1,362,440,1,1989,0,8,1,3
430,13.983333333333333,449,3438,1,1989,0,12,8,2
431,3.7333333333333334,527,472,1,1989,0,22,1,2
432,5.383333333333334,3141,3151,1,1989,0,21,7,1
433,15.933333333333334,270,3047,1,1989,0,19,12,5
434,5.416666666666667,524,515,1,1989,0,17,7,3
435,13.1,293,387,1,1989,0,16,11,6
436,8.083333333333334,401,3632,1,1989,0,3,5,6
437,23.933333333333334,3172,486,1,1989,0,20,9,1
438,6.683333333333334,3238,3447,1,1989,0,10,9,2
439,9.783333333333333,3103,3117,1,1989,0,17,7,1
440,4.933333333333334,3351,3379,1,1989,0,15,11,1
441,4.516666666666667,2012,3431,1,1989,0,17,5,4
442,6.883333333333334,465,478,1,1989,0,1,8,3
443,20.566666666666666,536,479,1,1989,0,14,8,0
444,7.6,540,484,1,1989,0,7,5,4
445,13.066666666666666,324,241,1,1989,0,21,9,3
446,31.416666666666668,3127,482,1,1989,0,19,5,3
447,15.333333333333334,3366,3295,1,1989,0,14,9,0
448,13.883333333333333,368,511,1,1989,0,22,4,1
449,23.466666666666665,3232,360,1,1989,2,8,9,0
450,12.833333333333334,161,161,1,1990,0,15,9,6
451,26.733333333333334,3102,2000,1,1990,0,8,10,4
452,7.666666666666667,498,496,1,1990,1,17,5,3
453,6.316666666666666,480,173,1,1990,0,12,2,2
454,6.516666666666667,195,249,1,1990,0,19,4,1
455,32.766666666666666,3244,427,1,1990,1,20,5,3
456,8.866666666666667,379,228,1,1990,0,9,2,3
457,7.466666666666667,3453,3110,1,1990,0,9,4,6
458,13.3,3141,3466,1,1990,0,7,5,4
459,6.316666666666666,83,416,1,1990,0,17,8,5
460,6.483333333333333,3318,3336,0,1990,0,15,4,3
461,4.6,3093,3110,1,1990,0,18,5,4
462,16.266666666666666,435,312,1,1990,0,11,10,0
463,11.05,295,3461,1,1990,0,15,5,6
464,7.05,528,526,1,1990,0,21,10,4
465,20.45,3160,448,1,1990,0,8,8,4
466,17.383333333333333,326,3635,1,1990,0,10,5,6
467,4.216666666666667,323,3298,1,1991,0,18,7,0
468,10.083333333333334,349,326,1,1991,1,16,6,5
469,37.35,492,390,1,1991,0,16,5,4
470,9.183333333333334,362,2021,1,1991,0,18,8,3
471,25.85,347,527,1,1991,0,18,8,2
472,6.116666666666666,83,397,1,1991,0,14,10,6
473,8.533333333333333,3080,3064,1,1991,0,23,9,4
474,16.2,433,359,1,1991,0,6,8,4
475,9.416666666666666,498,3458,1,1991,0,9,11,2
476,8.883333333333333,3137,3147,1,1991,1,15,8,6
477,7.7,447,3457,1,1991,0,10,3,0
478,11.05,442,238,1,1991,1,18,12,4
479,14.616666666666667,3440,365,1,1991,0,18,7,0
480,22.983333333333334,3142,3356,1,1991,1,12,2,6
481,9.066666666666666,461,334,1,1991,0,23,7,4
482,6.133333333333334,174,540,1,1991,0,12,5,0
483,11.483333333333333,449,3168,1,1991,0,16,9,2
484,21.8,259,328,1,1991,0,13,9,6
485,3.683333333333333,3170,3168,0,1991,1,18,6,3
486,9.816666666666666,325,446,1,1991,1,18,7,6
487,9.25,236,3224,1,1991,0,7,5,4
488,5.633333333333334,410,3427,1,1991,0,7,3,3
489,3.3833333333333333,326,439,1,1991,0,22,11,2
490,5.3,3107,3093,1,1991,1,20,11,3
491,6.133333333333334,3168,3162,1,1991,0,10,10,6
492,7.783333333333333,3493,3498,1,1991,0,17,11,1
493,28.85,392,3055,1,1991,1,20,9,0
494,4.283333333333333,433,545,1,1991,0,18,4,3
495,6.0,435,442,1,1991,1,11,9,2
496,11.25,251,316,1,1991,0,9,5,4
497,11.716666666666667,546,432,1,1991,0,19,9,0
498,8.15,242,460,1,1991,0,17,8,4
499,3.6666666666666665,3429,397,1,1991,0,20,10,3
500,28.05,529,3141,1,1992,1,7,3,2
501,5.983333333333333,384,366,1,1992,1,23,4,3
502,8.666666666666666,3112,3449,1,1992,1,20,10,1
503,11.766666666666667,336,401,1,1992,1,1,4,5
504,11.75,3452,3070,1,1992,0,19,6,6
505,3.0,3436,276,1,1992,1,14,7,2
506,3.1,540,474,1,1992,0,14,5,2
507,3.533333333333333,502,302,1,1992,0,19,8,2
508,19.033333333333335,3472,3235,1,1992,1,17,10,0
509,5.533333333333333,533,167,1,1992,0,16,5,4
510,19.633333333333333,387,334,1,1992,0,16,9,1
511,10.05,382,2010,1,1992,1,17,11,1
512,21.5,524,359,1,1992,1,13,10,1
513,35.11666666666667,3402,444,1,1992,0,6,4,0
514,3.3,173,495,1,1992,0,17,4,4
515,31.183333333333334,3427,116,0,1992,0,10,10,6
516,9.633333333333333,3119,3112,1,1992,1,10,6,2
517,13.866666666666667,458,484,1,1992,0,15,9,3
518,4.533333333333333,3289,3161,1,1992,0,15,7,5
519,8.316666666666666,151,152,1,1993,0,0,10,3
520,15.55,365,3409,1,1993,1,17,6,6
521,8.883333333333333,462,247,0,1993,0,8,5,0
522,15.233333333333333,527,3427,1,1993,0,19,5,1
